,0,1,2,3,4,5,6,7,8
0,Valeurs predites,0,1,2,3,4,5,-1,
1,Valeurs reelles,,,,,,,,
2,0,164384 | 94.5%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,8061 | 4.63%,
3,1,752 | 0.43%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,25 | 0.01%,
4,2,671 | 0.39%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,16 | 0.01%,
5,3,22 | 0.01%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,
6,4,13 | 0.01%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
7,5,5 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
8,-1,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
9,,,,,,,,,"164384.0
94.5%"
