,animal,human.pedestrian.adult,human.pedestrian.child,human.pedestrian.construction_worker,human.pedestrian.personal_mobility,human.pedestrian.police_officer,human.pedestrian.stroller,human.pedestrian.wheelchair,movable_object.barrier,movable_object.debris,movable_object.pushable_pullable,movable_object.trafficcone,static_object.bicycle_rack,vehicle.bicycle,vehicle.bus.bendy,vehicle.bus.rigid,vehicle.car,vehicle.construction,vehicle.emergency.ambulance,vehicle.emergency.police,vehicle.motorcycle,vehicle.trailer,vehicle.truck
0,312069.0,177492.0,309786.0,299208.0,312942.0,311688.0,310572.0,312192.0,252348.0,308004.0,299787.0,248469,305913.0,291402.0,310278.0,288975.0,79629.0,283833.0,312954.0,311325.0,296436.0,276648.0,185796.0
2,81.0,30744.0,537.0,3375.0,6.0,201.0,270.0,,14070.0,477.0,2358.0,12876,186.0,2121.0,27.0,1269.0,67302.0,3510.0,,69.0,1572.0,5547.0,28935.0
1,888.0,64737.0,2637.0,9264.0,177.0,1236.0,2265.0,933.0,35619.0,4518.0,9084.0,30717,7026.0,19236.0,2820.0,22782.0,101724.0,24840.0,171.0,1728.0,14853.0,29229.0,87300.0
4,36.0,9507.0,48.0,228.0,,,6.0,,3000.0,33.0,435.0,4788,,63.0,,15.0,17949.0,102.0,,,27.0,366.0,2067.0
3,30.0,17253.0,90.0,1002.0,,,12.0,,6294.0,93.0,705.0,7086,,288.0,,84.0,36273.0,822.0,,3.0,225.0,1239.0,8502.0
5,12.0,5775.0,18.0,39.0,,,,,1134.0,,246.0,2982,,12.0,,,7038.0,9.0,,,6.0,78.0,414.0
7,6.0,1746.0,,,,,,,144.0,,147.0,1404,,3.0,,,630.0,,,,3.0,3.0,18.0
6,3.0,3126.0,9.0,9.0,,,,,348.0,,219.0,2040,,,,,2439.0,9.0,,,3.0,15.0,93.0
8,,1167.0,,,,,,,81.0,,90.0,987,,,,,123.0,,,,,,
9,,672.0,,,,,,,54.0,,33.0,621,,,,,18.0,,,,,,
10,,405.0,,,,,,,21.0,,21.0,411,,,,,,,,,,,
11,,282.0,,,,,,,3.0,,,222,,,,,,,,,,,
12,,123.0,,,,,,,6.0,,,168,,,,,,,,,,,
16,,6.0,,,,,,,,,,27,,,,,,,,,,,
15,,9.0,,,,,,,,,,48,,,,,,,,,,,
13,,51.0,,,,,,,3.0,,,144,,,,,,,,,,,
14,,27.0,,,,,,,,,,84,,,,,,,,,,,
17,,3.0,,,,,,,,,,15,,,,,,,,,,,
19,,,,,,,,,,,,9,,,,,,,,,,,
20,,,,,,,,,,,,9,,,,,,,,,,,
18,,,,,,,,,,,,9,,,,,,,,,,,
22,,,,,,,,,,,,3,,,,,,,,,,,
23,,,,,,,,,,,,6,,,,,,,,,,,
